,Top_Three_Words
208,"[('good', 20), ('away', 18), ('hide', 18)]"
209,"[('see', 13), ('tell', 7), ('long', 6)]"
210,"[('good', 24), ('huh', 15), ('look', 10)]"
211,"[('hoo', 26), ('woo', 26), ('feel', 10)]"
212,"[('baby', 19), ('know', 18), ('way', 14)]"
213,"[('know', 80), ('seem', 13), ('mean', 13)]"
214,"[('ocean', 9), ('cake', 9), ('eat', 9)]"
215,"[('yeah', 7), ('wanna', 5), ('know', 5)]"
216,"[('need', 11), ('right', 11), ('cheerleader', 10)]"
217,"[('nobody', 29), ('can', 18), ('drag', 13)]"
218,"[('house', 14), ('welcome', 10), ('know', 6)]"
219,"[('quan', 32), ('hit', 32), ('get', 15)]"
220,"[('back', 43), ('said', 35), ('bitch', 25)]"
221,"[('make', 9), ('hey', 9), ('like', 7)]"
222,"[('like', 17), ('young', 12), ('just', 10)]"
223,"[('house', 6), ('burning', 4), ('hold', 4)]"
224,"[('see', 10), ('goes', 8), ('yeah', 8)]"
225,"[('one', 17), ('longer', 5), ('little', 5)]"
226,"[('show', 10), ('know', 8), ('don', 8)]"
227,"[('one', 12), ('call', 11), ('away', 10)]"
228,"[('ain', 19), ('home', 13), ('tonight', 12)]"
229,"[('hands', 18), ('keep', 16), ('trying', 15)]"
230,"[('hey', 16), ('gonna', 13), ('alright', 8)]"
231,"[('girl', 14), ('back', 10), ('sleep', 9)]"
232,"[('baby', 10), ('get', 10), ('like', 8)]"
233,"[('little', 9), ('ain', 8), ('like', 7)]"
234,"[('don', 23), ('love', 15), ('used', 14)]"
235,"[('one', 8), ('know', 5), ('wish', 4)]"
236,"[('got', 22), ('man', 4), ('boy', 4)]"
237,"[('dream', 7), ('find', 6), ('til', 6)]"
238,"[('love', 39), ('man', 18), ('life', 16)]"
239,"[('back', 22), ('yeah', 8), ('please', 6)]"
240,"[('lay', 36), ('hurting', 14), ('let', 12)]"
241,"[('got', 24), ('love', 16), ('world', 16)]"
242,"[('can', 19), ('stand', 16), ('gonna', 16)]"
243,"[('friend', 12), ('best', 12), ('bitch', 12)]"
244,"[('love', 23), ('way', 21), ('whoa', 9)]"
245,"[('new', 9), ('americana', 8), ('nirvana', 4)]"
246,"[('baby', 20), ('money', 19), ('save', 17)]"
247,"[('love', 18), ('truth', 6), ('find', 6)]"
248,"[('come', 18), ('somebody', 17), ('like', 16)]"
249,"[('like', 11), ('nothin', 11), ('seen', 9)]"
250,"[('good', 46), ('now', 19), ('right', 17)]"
251,"[('got', 18), ('ain', 10), ('dibs', 9)]"
252,"[('strip', 12), ('let', 11), ('old', 9)]"
253,"[('ooh', 48), ('feel', 11), ('sing', 10)]"
254,"[('long', 13), ('day', 13), ('like', 12)]"
255,"[('like', 10), ('take', 9), ('know', 9)]"
256,"[('know', 9), ('like', 8), ('just', 7)]"
257,"[('don', 15), ('nigga', 12), ('like', 10)]"
258,"[('whoa', 18), ('baby', 7), ('can', 7)]"
259,"[('sometimes', 9), ('need', 8), ('smoke', 6)]"
260,"[('hollow', 17), ('yeah', 11), ('cause', 11)]"
261,"[('somebody', 22), ('love', 17), ('find', 11)]"
262,"[('like', 7), ('best', 6), ('give', 5)]"
263,"[('got', 9), ('tell', 9), ('love', 9)]"
264,"[('good', 7), ('worship', 7), ('church', 7)]"
265,"[('funk', 29), ('uptown', 29), ('don', 19)]"
266,"[('love', 10), ('maybe', 6), ('right', 5)]"
267,"[('moving', 24), ('lips', 24), ('lyin', 18)]"
268,"[('know', 19), ('one', 7), ('don', 5)]"
269,"[('hoo', 40), ('love', 39), ('gotta', 36)]"
270,"[('get', 13), ('jealous', 12), ('still', 11)]"
271,"[('animals', 30), ('can', 28), ('like', 22)]"
272,"[('bass', 43), ('bout', 25), ('treble', 15)]"
273,"[('shake', 70), ('gonna', 22), ('fake', 18)]"
274,"[('don', 26), ('fuck', 21), ('fuckin', 19)]"
275,"[('wants', 35), ('heart', 16), ('baby', 6)]"
276,"[('love', 8), ('wasted', 6), ('seen', 4)]"
277,"[('bitches', 17), ('niggas', 15), ('like', 13)]"
278,"[('ooh', 36), ('high', 9), ('forget', 6)]"
279,"[('got', 21), ('goin', 17), ('club', 17)]"
280,"[('wave', 8), ('drifting', 8), ('away', 5)]"
281,"[('don', 19), ('know', 9), ('wanna', 9)]"
282,"[('remember', 16), ('centuries', 12), ('hey', 11)]"
283,"[('tree', 14), ('strange', 8), ('hanging', 7)]"
284,"[('bang', 44), ('let', 18), ('minute', 14)]"
285,"[('got', 15), ('ain', 15), ('like', 14)]"
286,"[('side', 28), ('smack', 26), ('hands', 25)]"
287,"[('blame', 28), ('don', 20), ('night', 8)]"
288,"[('stay', 8), ('cause', 5), ('love', 5)]"
289,"[('love', 19), ('coco', 18), ('low', 14)]"
290,"[('beg', 24), ('make', 21), ('like', 10)]"
291,"[('don', 53), ('tell', 45), ('like', 14)]"
292,"[('money', 48), ('don', 17), ('mind', 12)]"
293,"[('gonna', 8), ('got', 8), ('want', 7)]"
294,"[('gonna', 19), ('love', 16), ('now', 13)]"
295,"[('christmas', 15), ('want', 15), ('baby', 11)]"
296,"[('heroes', 12), ('light', 4), ('little', 4)]"
297,"[('trumpets', 9), ('song', 8), ('weird', 7)]"
298,"[('know', 2), ('don', 2), ('old', 2)]"
299,"[('talk', 15), ('shouldn', 9), ('never', 8)]"
300,"[('tonight', 16), ('holding', 13), ('one', 13)]"
301,"[('water', 9), ('something', 8), ('must', 8)]"
302,"[('tell', 20), ('santa', 14), ('won', 13)]"
303,"[('feelin', 42), ('ego', 9), ('like', 5)]"
304,"[('like', 16), ('nigga', 10), ('top', 10)]"
305,"[('rather', 20), ('place', 20), ('yeah', 7)]"
306,"[('bitch', 10), ('try', 10), ('ain', 9)]"
307,"[('ghost', 20), ('going', 9), ('pain', 8)]"
308,"[('look', 25), ('don', 17), ('butt', 16)]"
309,"[('marry', 15), ('say', 12), ('rude', 11)]"
310,"[('changes', 8), ('night', 6), ('ever', 6)]"
311,"[('talladega', 8), ('like', 6), ('cars', 4)]"
312,"[('fuckin', 6), ('tonight', 6), ('know', 6)]"
313,"[('hold', 16), ('one', 9), ('real', 5)]"
314,"[('every', 18), ('sayin', 15), ('saying', 8)]"
315,"[('ain', 21), ('nigga', 15), ('money', 13)]"
316,"[('little', 7), ('daze', 6), ('sun', 6)]"
317,"[('know', 15), ('mary', 12), ('will', 11)]"
318,"[('just', 5), ('girl', 4), ('storm', 3)]"
319,"[('bet', 24), ('life', 20), ('ooh', 14)]"
320,"[('can', 9), ('see', 8), ('baby', 5)]"
321,"[('bed', 13), ('lie', 12), ('know', 7)]"
322,"[('every', 8), ('hope', 7), ('woah', 6)]"
323,"[('still', 11), ('masterpiece', 9), ('working', 7)]"
324,"[('don', 18), ('wanna', 9), ('tonight', 9)]"
325,"[('til', 21), ('gone', 19), ('gonna', 5)]"
326,"[('dangerous', 14), ('know', 6), ('don', 6)]"
327,"[('will', 6), ('think', 6), ('don', 6)]"
328,"[('everybody', 12), ('wanna', 10), ('belongs', 9)]"
329,"[('wanna', 13), ('gonna', 8), ('eyes', 6)]"
330,"[('class', 8), ('drinking', 8), ('belong', 8)]"
331,"[('even', 9), ('already', 7), ('ain', 7)]"
332,"[('feel', 14), ('now', 14), ('sledgehammer', 13)]"
333,"[('let', 8), ('make', 8), ('don', 6)]"
334,"[('real', 15), ('going', 15), ('get', 7)]"
335,"[('girls', 15), ('made', 15), ('god', 15)]"
336,"[('knows', 14), ('know', 14), ('dudes', 3)]"
337,"[('back', 7), ('hard', 6), ('never', 4)]"
338,"[('often', 33), ('pussy', 10), ('girl', 9)]"
339,"[('mean', 12), ('see', 4), ('perfect', 4)]"
340,"[('try', 58), ('don', 33), ('get', 18)]"
341,"[('said', 18), ('dance', 12), ('shut', 12)]"
342,"[('time', 17), ('get', 17), ('let', 12)]"
343,"[('pretty', 15), ('say', 13), ('get', 13)]"
344,"[('know', 8), ('don', 8), ('like', 7)]"
345,"[('like', 16), ('cowboy', 11), ('hat', 4)]"
346,"[('say', 17), ('ain', 17), ('much', 16)]"
347,"[('love', 25), ('like', 15), ('ain', 14)]"
348,"[('wanna', 17), ('getting', 8), ('rules', 8)]"
349,"[('eyes', 8), ('lonely', 8), ('something', 6)]"
350,"[('taking', 24), ('bringing', 21), ('baby', 17)]"
351,"[('money', 12), ('honey', 9), ('baby', 8)]"
352,"[('never', 25), ('ain', 25), ('like', 6)]"
353,"[('beat', 9), ('flicker', 6), ('yellow', 6)]"
